year,month,state,locality,lat,lon,individualCount,dataSource
2000,2,Victoria,Pyramid Rock North Phillip Island,-38.5288,145.223,16,Victorian Biodiversity Atlas
2002,4,Victoria,Washing Machine Phillip Island,-38.5588,145.341,2,Victorian Biodiversity Atlas
2004,11,Victoria,Shortland Bluff Port Phillip Heads,-38.2753,144.655,1,Victorian Biodiversity Atlas
2001,5,Victoria,East Glennie Is Wilsons Promontory,-39.0839,146.235,1,Victorian Biodiversity Atlas
2001,1,Victoria,Point Franklin Port Phillip Heads,-38.3173,144.717,3,Victorian Biodiversity Atlas
2001,3,Victoria,Cape Woolamai East Phillip Island,-38.5651,145.362,1,Victorian Biodiversity Atlas
2022,1,New South Wales,,-33.800393,151.29649,1,iNaturalist Australia
2025,11,Victoria,,-38.88798,145.988428,1,iNaturalist Australia
2025,9,New South Wales,,-31.523755,159.05815,1,iNaturalist Australia
2025,10,New South Wales,,-34.003411,151.2268,1,iNaturalist Australia
2018,1,Victoria,,-38.357438,144.772854,1,iNaturalist Australia
2018,12,Victoria,,-38.160389,145.088622,1,iNaturalist Australia
2019,2,Victoria,,-37.931678,144.99026,1,iNaturalist Australia
2020,6,New South Wales,,-34.064107,151.15737,1,iNaturalist Australia
2013,8,South Australia,,-32.51149,134.211677,1,iNaturalist Australia
2023,4,Victoria,,-38.365612,144.823134,1,iNaturalist Australia
2023,3,South Australia,,-35.084771,137.748938,1,iNaturalist Australia
2023,12,South Australia,,-34.743749,135.89119,1,iNaturalist Australia
2025,3,South Australia,,-35.509592,138.215139,1,iNaturalist Australia
2021,11,New South Wales,,-34.071048,151.157997,1,iNaturalist Australia
2023,2,Western Australia,,-31.851725,115.751066,1,iNaturalist Australia
2020,8,New South Wales,,-33.800575,151.29692,1,iNaturalist Australia
2020,3,Western Australia,,-33.859059,114.987109,1,iNaturalist Australia
2023,3,Western Australia,,-32.052973,115.725366,1,iNaturalist Australia
2025,12,Victoria,,-38.27557,144.650509,1,iNaturalist Australia
2025,5,Western Australia,,-32.089267,115.755208,1,iNaturalist Australia
2026,2,Western Australia,,-32.018195,115.491991,1,iNaturalist Australia
2026,3,New South Wales,,-36.209635,150.131896,1,iNaturalist Australia
2021,1,Victoria,,-38.654951,145.577403,1,iNaturalist Australia
2022,1,South Australia,,-37.484696,140.018813,1,iNaturalist Australia
2025,10,Victoria,,-38.475817,145.028658,1,iNaturalist Australia
2017,4,New South Wales,,-33.992116,151.231191,1,iNaturalist Australia
2021,2,Victoria,,-38.16349,145.089045,1,iNaturalist Australia
2022,3,Western Australia,,-32.12426,115.759298,1,iNaturalist Australia
2021,1,Victoria,,-38.254972,145.278525,1,iNaturalist Australia
2024,6,South Australia,,-35.510379,138.216294,1,iNaturalist Australia
2022,4,Western Australia,,-32.10134,115.756603,1,iNaturalist Australia
2024,10,South Australia,,-35.522854,138.185421,1,iNaturalist Australia
2025,10,Victoria,,-38.352991,144.907481,1,iNaturalist Australia
2021,9,South Australia,,-34.836921,138.47825,1,iNaturalist Australia
2022,10,South Australia,,-34.931758,138.496537,1,iNaturalist Australia
2021,12,New South Wales,,-34.304048,150.937817,1,iNaturalist Australia
2018,4,New South Wales,,-33.799519,151.296739,1,iNaturalist Australia
2025,12,South Australia,,-34.718948,135.858647,1,iNaturalist Australia
2022,4,Western Australia,,-32.12426,115.759298,1,iNaturalist Australia
2026,2,Victoria,,-38.368787,144.771284,1,iNaturalist Australia
2022,11,South Australia,,-35.498854,138.245471,1,iNaturalist Australia
2025,10,Victoria,,-38.548056,145.354249,1,iNaturalist Australia
2021,7,New South Wales,,-33.839417,151.253091,1,iNaturalist Australia
2025,5,Western Australia,,-32.00388,115.747812,1,iNaturalist Australia
2017,11,New South Wales,,-33.800265,151.296846,1,iNaturalist Australia
1999,1,New South Wales,,-34.069105,151.129764,1,iNaturalist Australia
